path,truth,zcr,centroid,bandwidth,rolloff,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
ExtractedAudio\User_0\run_0\video_audio.wav,1,0.03807937457997312,1050.2274771283082,1509.3691752763566,2042.904761529738,0.26923999190330505,0.169982448220253,0.11203368753194809,0.12154263257980347,0.1730002760887146,0.28786101937294006,0.417479932308197,0.5648201704025269,0.4981241822242737,0.45422327518463135,0.5358519554138184,0.3413192629814148,-359.3685607910156,162.65782165527344,-8.050875663757324,33.39976501464844,6.620218276977539,3.9532434940338135,0.8477054834365845,-7.205281734466553,-7.08691930770874,-2.082303047180176,-6.427704334259033,-1.7344948053359985,-6.78941011428833
ExtractedAudio\User_0\run_1\video_audio.wav,0,0.042593846749226005,1146.7058683037371,1601.1524171509584,2261.9863220781735,0.24206013977527618,0.18400157988071442,0.1445649415254593,0.14171645045280457,0.17970266938209534,0.2778402864933014,0.45741838216781616,0.7374697327613831,0.5242336988449097,0.37401196360588074,0.3790493309497833,0.36417156457901,-362.08770751953125,156.8953399658203,-10.072235107421875,31.630264282226562,6.100281238555908,3.5946905612945557,2.3957414627075195,-9.840629577636719,-8.448143005371094,-2.159278631210327,-5.796821594238281,1.48796546459198,-3.2758641242980957
ExtractedAudio\User_0\run_2\video_audio.wav,0,0.040386652542372885,1099.7613191865003,1550.2511850005003,2158.369057865466,0.3247775137424469,0.24273169040679932,0.13944865763187408,0.10008500516414642,0.11629348993301392,0.17954520881175995,0.32871153950691223,0.635551393032074,0.5674837231636047,0.3459399342536926,0.3683358430862427,0.3289068937301636,-351.411376953125,133.1715850830078,11.325371742248535,24.09449577331543,12.079126358032227,-1.9461686611175537,4.0205583572387695,-4.878017902374268,-7.001065731048584,-2.0562188625335693,-6.216390609741211,-2.9600319862365723,-2.463792562484741
ExtractedAudio\User_0\run_3\video_audio.wav,0,0.04564136730919003,1171.6297712797714,1590.4697864535478,2281.5133068049067,0.3657909631729126,0.24867300689220428,0.17724652588367462,0.12664592266082764,0.1632002890110016,0.2560383677482605,0.4549323320388794,0.7156713604927063,0.5197210311889648,0.27698755264282227,0.3396901786327362,0.40967857837677,-343.44464111328125,154.739013671875,-10.631417274475098,32.072227478027344,5.7477312088012695,2.6687734127044678,1.450661540031433,-5.803019046783447,-6.799355983734131,-1.1555523872375488,-4.78295373916626,-2.994752883911133,-4.957362174987793
ExtractedAudio\User_0\run_4\video_audio.wav,0,0.047065822557471264,1214.7154106388164,1643.2296940125552,2387.0504445043102,0.29444387555122375,0.23668861389160156,0.11132439225912094,0.09023509919643402,0.11806289851665497,0.17231522500514984,0.2970767319202423,0.5647488832473755,0.46594950556755066,0.39819037914276123,0.4730152189731598,0.3754916787147522,-349.0132751464844,152.20565795898438,-6.9288411140441895,32.279415130615234,3.885244369506836,0.11703912168741226,-1.0466245412826538,-4.884768486022949,-5.723503589630127,-1.7532472610473633,-10.371281623840332,-1.7527650594711304,-4.548640251159668
ExtractedAudio\User_0\run_5\video_audio.wav,1,0.04497838232566766,1195.0477059438715,1626.2993626214989,2395.74456370549,0.44713982939720154,0.40743693709373474,0.2646324634552002,0.15140537917613983,0.13326042890548706,0.13697049021720886,0.19672058522701263,0.46240031719207764,0.6168707013130188,0.36131715774536133,0.25443539023399353,0.33350056409835815,-340.7605895996094,151.97451782226562,-8.066969871520996,31.237579345703125,6.517767906188965,-1.7098280191421509,0.2162291705608368,-5.505570888519287,-5.090898513793945,-2.8206841945648193,-6.954395771026611,-1.6891764402389526,-2.725059986114502
ExtractedAudio\User_1\run_0\video_audio.wav,1,0.04608261376096491,1158.1711338077946,1586.9367973138376,2336.75392552426,0.26014867424964905,0.2390480637550354,0.21119126677513123,0.1712363213300705,0.20961865782737732,0.2852354645729065,0.45256364345550537,0.6974083781242371,0.6015617251396179,0.5180306434631348,0.4416987895965576,0.33896562457084656,-352.9571228027344,157.57559204101562,-7.901492595672607,36.32933807373047,1.87649405002594,7.319598197937012,-0.29936814308166504,-10.556777000427246,-2.420456886291504,-3.3521230220794678,-3.2128214836120605,3.636963367462158,-0.19379287958145142
ExtractedAudio\User_1\run_1\video_audio.wav,0,0.047537862255586594,1265.805991623059,1687.2413171414044,2603.352228090084,0.30304962396621704,0.2962946593761444,0.2383197546005249,0.1904240846633911,0.2350727915763855,0.281828910112381,0.4600735008716583,0.7498850226402283,0.6945117712020874,0.5102701187133789,0.3562784790992737,0.358760267496109,-354.57501220703125,151.15435791015625,-6.045480251312256,38.95641326904297,3.7451393604278564,5.264805316925049,-3.6099114418029785,-6.266826152801514,-0.6492941975593567,-4.44563627243042,-6.27223539352417,3.262895107269287,-0.35661911964416504
ExtractedAudio\User_1\run_2\video_audio.wav,1,0.047333955048798795,1187.3722738270942,1625.742470054248,2419.3168021537163,0.23537294566631317,0.228796124458313,0.21163594722747803,0.1790844053030014,0.24679012596607208,0.2924756705760956,0.48555052280426025,0.7668635845184326,0.577659547328949,0.4979250729084015,0.408814936876297,0.30161941051483154,-366.97711181640625,155.65225219726562,-3.301225185394287,35.83489227294922,3.295492172241211,3.611621379852295,-4.259110927581787,-7.070420265197754,0.0373501256108284,-3.9214699268341064,-4.861166954040527,2.1415035724639893,-1.3345715999603271
ExtractedAudio\User_1\run_3\video_audio.wav,1,0.04346365950226244,1094.4047436336891,1578.7442848205087,2138.80245156957,0.2508111298084259,0.25045716762542725,0.22917510569095612,0.203176349401474,0.24879878759384155,0.3279314339160919,0.5248769521713257,0.8231048583984375,0.5743390321731567,0.4082791209220886,0.36140406131744385,0.30650195479393005,-361.1977844238281,160.8360137939453,-3.5780956745147705,32.26419448852539,3.993865728378296,8.815458297729492,1.3072912693023682,-9.025297164916992,-3.6985507011413574,-1.9511001110076904,-1.6190019845962524,2.724210739135742,-0.4997054934501648
ExtractedAudio\User_1\run_4\video_audio.wav,0,0.0509529287956621,1358.139499735485,1805.4516131931534,2873.3798092358734,0.47560325264930725,0.3572041392326355,0.2896728515625,0.18572202324867249,0.15751029551029205,0.19703534245491028,0.27309450507164,0.5412604212760925,0.6978398561477661,0.46257227659225464,0.3375435471534729,0.38425397872924805,-344.479736328125,144.8507080078125,-2.056842088699341,36.730098724365234,6.162415981292725,9.618355751037598,-4.069295406341553,-6.865833759307861,-0.08026673644781113,-3.0231621265411377,-3.0240795612335205,3.696760654449463,-1.4220293760299683
ExtractedAudio\User_1\run_5\video_audio.wav,1,0.04891656129576108,1273.2229413422351,1688.0963440805376,2572.719895908598,0.28880369663238525,0.29424697160720825,0.30276986956596375,0.2646760046482086,0.2555868625640869,0.28483763337135315,0.3574720621109009,0.6412938833236694,0.7798387408256531,0.5409147143363953,0.37435197830200195,0.2780057191848755,-353.9485168457031,152.46234130859375,-0.6858237385749817,32.36209487915039,2.4870753288269043,8.273550033569336,-1.427821159362793,-6.579172134399414,-0.8568551540374756,-2.5625994205474854,-2.4691004753112793,2.8836934566497803,-2.2484283447265625
ExtractedAudio\User_10\run_0\video_audio.wav,1,0.05362232349537037,1389.5967675194252,1815.0122341365338,2666.64794921875,0.30649030208587646,0.34058016538619995,0.3435087203979492,0.36043447256088257,0.3366958498954773,0.32365891337394714,0.38081780076026917,0.6264315843582153,0.6568417549133301,0.5168426036834717,0.433747261762619,0.28413230180740356,-390.04974365234375,147.7568359375,-6.6751708984375,17.761323928833008,-4.730815887451172,10.372867584228516,1.085150122642517,4.620591640472412,-9.581974029541016,2.141477346420288,-6.470932483673096,-4.361701488494873,1.8069566488265991
ExtractedAudio\User_10\run_1\video_audio.wav,1,0.054673044305098686,1328.1953746400131,1708.4363509355687,2485.5974699321546,0.28859230875968933,0.2835436463356018,0.2589690685272217,0.26639556884765625,0.2596263289451599,0.31806671619415283,0.4122636914253235,0.5571584105491638,0.5109233260154724,0.46044835448265076,0.43677160143852234,0.4042457342147827,-374.16302490234375,151.85317993164062,-16.68890953063965,18.032608032226562,8.417915344238281,5.3404130935668945,1.752862572669983,1.8550702333450317,-17.091150283813477,4.687740325927734,-9.919623374938965,-4.210954189300537,3.3920412063598633
ExtractedAudio\User_10\run_2\video_audio.wav,1,0.0488739013671875,1345.706314460586,1754.533373373539,2598.4519958496094,0.3606424629688263,0.33634430170059204,0.324027419090271,0.26643791794776917,0.222703218460083,0.29116955399513245,0.4023571014404297,0.6694359183311462,0.6627504229545593,0.4951093792915344,0.42887452244758606,0.3722277581691742,-393.67010498046875,150.65480041503906,-9.383208274841309,20.64154815673828,1.7807790040969849,7.096529006958008,3.1505320072174072,3.4253029823303223,-9.788992881774902,1.6722290515899658,-9.570892333984375,-4.934932231903076,4.174428939819336
